numeral,enticve1,entifed1,ubicageo_e,municip1,vehreptt,vehrep1,vehrep2,vehrep3,vehreps1,vehrep4,vehrep5,vehrep6,vehreps2,vehrep8,vehrep9,vehrep10,vehreps3,vehrep12,vehrep13,vehrep14
109,07,CHIAPAS,7025,CHAPULTENANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,07,CHIAPAS,7026,CHENALHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,07,CHIAPAS,7027,CHIAPA DE CORZO,9,2,7,0,1,0,1,0,0,0,0,0,8,2,6,0
112,07,CHIAPAS,7028,CHIAPILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,07,CHIAPAS,7029,CHICOASEN,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0
114,07,CHIAPAS,7030,CHICOMUSELO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,07,CHIAPAS,7031,CHILON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,07,CHIAPAS,7032,ESCUINTLA,3,1,2,0,0,0,0,0,0,0,0,0,3,1,2,0
117,07,CHIAPAS,7033,FRANCISCO LEON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,07,CHIAPAS,7034,FRONTERA COMALAPA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
119,07,CHIAPAS,7035,FRONTERA HIDALGO,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
120,07,CHIAPAS,7036,LA GRANDEZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,07,CHIAPAS,7037,HUEHUETAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,07,CHIAPAS,7038,HUIXTAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,07,CHIAPAS,7039,HUITIUPAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,07,CHIAPAS,7040,HUIXTLA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
125,07,CHIAPAS,7041,LA INDEPENDENCIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,07,CHIAPAS,7042,IXHUATAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,07,CHIAPAS,7043,IXTACOMITAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,07,CHIAPAS,7044,IXTAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,07,CHIAPAS,7045,IXTAPANGAJOYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,07,CHIAPAS,7046,JIQUIPILAS,4,3,1,0,0,0,0,0,0,0,0,0,4,3,1,0
131,07,CHIAPAS,7047,JITOTOL,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
132,07,CHIAPAS,7048,JUAREZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,07,CHIAPAS,7049,LARRAINZAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,07,CHIAPAS,7050,LA LIBERTAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,07,CHIAPAS,7051,MAPASTEPEC,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
136,07,CHIAPAS,7052,LAS MARGARITAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,07,CHIAPAS,7053,MAZAPA DE MADERO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,07,CHIAPAS,7054,MAZATAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,07,CHIAPAS,7055,METAPA,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0
140,07,CHIAPAS,7056,MITONTIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,07,CHIAPAS,7057,MOTOZINTLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,07,CHIAPAS,7058,NICOLAS RUIZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,07,CHIAPAS,7059,OCOSINGO,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0
144,07,CHIAPAS,7060,OCOTEPEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,07,CHIAPAS,7061,OCOZOCOAUTLA DE ESPINOSA,43,2,41,0,0,0,0,0,0,0,0,0,43,2,41,0
146,07,CHIAPAS,7062,OSTUACAN,4,1,3,0,0,0,0,0,0,0,0,0,4,1,3,0
147,07,CHIAPAS,7063,OSUMACINTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,07,CHIAPAS,7064,OXCHUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,07,CHIAPAS,7065,PALENQUE,51,11,40,0,1,0,1,0,0,0,0,0,50,11,39,0
150,07,CHIAPAS,7066,PANTELHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,07,CHIAPAS,7067,PANTEPEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,07,CHIAPAS,7068,PICHUCALCO,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
153,07,CHIAPAS,7069,PIJIJIAPAN,6,1,5,0,0,0,0,0,0,0,0,0,6,1,5,0
154,07,CHIAPAS,7070,EL PORVENIR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,07,CHIAPAS,7071,VILLA COMALTITLAN,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
156,07,CHIAPAS,7072,PUEBLO NUEVO SOLISTAHUACAN,5,5,0,0,0,0,0,0,0,0,0,0,5,5,0,0
157,07,CHIAPAS,7073,RAYON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,07,CHIAPAS,7074,REFORMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,07,CHIAPAS,7075,LAS ROSAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,07,CHIAPAS,7076,SABANILLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,07,CHIAPAS,7077,SALTO DE AGUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,07,CHIAPAS,7078,SAN CRISTOBAL DE LAS CASAS,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0
163,07,CHIAPAS,7079,SAN FERNANDO,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0
164,07,CHIAPAS,7080,SILTEPEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,07,CHIAPAS,7081,SIMOJOVEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,07,CHIAPAS,7082,SITALA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
167,07,CHIAPAS,7083,SOCOLTENANGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,07,CHIAPAS,7084,SOLOSUCHIAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,07,CHIAPAS,7085,SOYALO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,07,CHIAPAS,7086,SUCHIAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,07,CHIAPAS,7087,SUCHIATE,4,1,3,0,0,0,0,0,0,0,0,0,4,1,3,0
172,07,CHIAPAS,7088,SUNUAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,07,CHIAPAS,7089,TAPACHULA,28,0,28,0,0,0,0,0,0,0,0,0,28,0,28,0
174,07,CHIAPAS,7090,TAPALAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,07,CHIAPAS,7091,TAPILULA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,07,CHIAPAS,7092,TECPATAN,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,0
177,07,CHIAPAS,7093,TENEJAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,07,CHIAPAS,7094,TEOPISCA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
179,07,CHIAPAS,7096,TILA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,07,CHIAPAS,7097,TONALA,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0
181,07,CHIAPAS,7098,TOTOLAPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,07,CHIAPAS,7099,LA TRINITARIA,20,14,6,0,0,0,0,0,0,0,0,0,20,14,6,0
183,07,CHIAPAS,7100,TUMBALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,07,CHIAPAS,7101,TUXTLA GUTIERREZ,11,2,9,0,0,0,0,0,0,0,0,0,11,2,9,0
185,07,CHIAPAS,7102,TUXTLA CHICO,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
186,07,CHIAPAS,7103,TUZANTAN,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
