COLUMNA,DESCRIPCION,ORIGEN,TIPO_DATO,LONGITUD,CODIGO_VALIDO
umppfa13,Cuernos de rinoceronte - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa14,Cuernos de rinoceronte - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa15,Cuernos de rinoceronte - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa16,Dientes de león - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa17,Dientes de león - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa18,Dientes de león - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa19,Escamas de pescado - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa20,Escamas de pescado - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa21,Escamas de pescado - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa22,Filetes de pescado - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa23,Filetes de pescado - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa24,Filetes de pescado - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa25,Huevos de tortuga - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa26,Huevos de tortuga - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa27,Huevos de tortuga - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa28,Lonjas o medallones de atún - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa29,Lonjas o medallones de atún - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa30,Lonjas o medallones de atún - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa31,Lonjas o medallones de calamar/ pulpo - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa32,Lonjas o medallones de calamar/ pulpo - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa33,Lonjas o medallones de calamar/ pulpo - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa34,Pescado eviscerado - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa35,Pescado eviscerado - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa36,Pescado eviscerado - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa37,Pieles preciosas - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa38,Pieles preciosas - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa39,Pieles preciosas - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa40,Pulpa de almeja - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa41,Pulpa de almeja - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa42,Pulpa de almeja - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa43,Pulpa de jaiba - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa44,Pulpa de jaiba - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa45,Pulpa de jaiba - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa46,Tentáculos de calamar/ pulpo - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa47,Tentáculos de calamar/ pulpo - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa48,Tentáculos de calamar/ pulpo - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa49,Tiburón congelado - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa50,Tiburón congelado - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa51,Tiburón congelado - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa52,Otro tipo de partes y/ o productos - Ejemplares o unidades,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa53,Otro tipo de partes y/ o productos - Kilogramos,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
umppfa54,Otro tipo de partes y/ o productos - Otra unidad de medida,SECC IV. 30,Carácter,20,"0-999999999999999, NA, NSS, ND, NP, NULL"
